,sbj,isSpeed,jitter,b0,lambda,mux,muy,ndt,G2
0,100,0,15,3.6142006512303024,0.0,4.652841114527273,0.04241868294062345,0.1,-421.74197354989735
1,100,0,30,3.4302759058295473,0.0,3.8653253491097734,0.06752981710167175,0.1,-349.918920196476
2,100,0,45,1.8207713801406387,0.0,2.3945786268848055,-0.20245836843325682,0.401455767227157,-195.69499751008965
3,100,1,15,6.0,4.4200139781068675,8.0,-0.00048669670124580746,0.152744351225618,-643.3546162779539
4,100,1,30,1.835645985290652,0.4722654005156935,5.641889882667783,0.0561648229406836,0.3743319141002535,-501.48897149582297
5,100,1,45,1.0323145123797304,0.0100000101077413,3.2222950030020137,-0.3014473556119207,0.4397398326499768,-330.1623810885184
6,101,0,15,5.230507787009258,0.0,7.896779720182222,0.15981870558900899,0.1,-467.28368989845353
7,101,0,30,3.3124684938950537,0.0,4.221171788454479,-0.1249322593171131,0.1055502558431271,-308.12111874734194
8,101,0,45,2.186838601128559,0.2806251048524653,1.798890580554302,0.10165963336668445,0.11883983631661849,-87.83485593995496
9,101,1,15,6.0,4.19502952191848,8.0,-0.3328834865651383,0.1772514962156463,-594.9644489290756
10,101,1,30,2.0585080474136435,0.0,4.490564196094836,-0.07412271267550934,0.2968926554915305,-328.7686903279714
11,101,1,45,1.2118396742465796,0.0,3.489847031146111,-0.042590379241999606,0.41558667264161253,-271.7240393927608
12,110,0,15,2.5998821958668072,5.0146900922636025e-09,3.89314878513718,0.2067857798433166,0.1,-289.7125217160099
13,110,0,30,2.3247285435383587,0.0,2.433484638783353,0.10707340244437316,0.1,-151.86195158708628
14,110,0,45,1.6200331225770142,0.0100000762063172,1.6030442037912738,-0.0957467785561038,0.2450310488090242,-51.61271186001159
15,110,1,15,2.209225102902159,0.33803388621941,5.694947815790771,0.0931306415112896,0.2411151723053516,-399.9961495302163
16,110,1,30,1.532476665838622,5.882755573864769e-07,2.854189262202829,-0.1554081084595843,0.2397615334463707,-212.50602591228665
17,110,1,45,1.211272714988124,0.01,2.1675411271642204,0.1167401895106695,0.3177385049405115,-150.2847875311349
18,120,0,15,3.249955134756752,0.0,3.79256451758461,0.0160519896717159,0.1,-267.85793981256967
19,120,0,30,2.698305665398712,2.005877886225976e-08,2.600523405228419,-0.014258534894815,0.1108774589646839,-155.95411857672764
20,120,0,45,1.5943792746330863,2.287592285314099e-08,1.833259478491038,0.03600252044456373,0.3994379769129852,-82.43808758550934
21,120,1,15,5.971520161651769,5.0,8.0,0.12422785909508559,0.16754872432727377,-546.6847869264167
22,120,1,30,1.2792537255990502,9.701475864717005e-08,3.515324778847038,0.0756335495143137,0.3359399491882268,-272.08857399638407
23,120,1,45,2.095048698197812,1.399698968574672,2.502781264349487,0.0241131226107156,0.1965575000937629,-227.8529090886569
24,130,0,15,2.0471502908306176,0.0,5.832515905832369,0.22339438851075663,0.1951921427463135,-402.28410408751074
25,130,0,30,1.4749963518437252,1.1481918209566022,3.784402703976442,0.146980369337513,0.2618988480404808,-322.9141982831414
26,130,0,45,0.9290740286896901,0.3391539702462484,2.758969172712811,0.21731259555885418,0.326269094257804,-240.08374827578646
27,130,1,15,3.5939467312011955,5.0,5.888204873408463,-0.5367107747376996,0.13459061578375683,-436.6491118452583
28,130,1,30,0.9993408187155955,1.537185552545704e-06,4.924228050032911,0.0587353546193003,0.2889491421719831,-362.2274121710152
29,130,1,45,0.923497664417494,0.5613379676137025,3.64591192575804,-0.3068443764456815,0.3032099904880883,-307.95857684858333
30,140,0,15,5.876952768497118,5.0,8.0,0.22095766328546557,0.16379615366635925,-683.1084076308298
31,140,0,30,2.2826802789788405,0.0,4.620408700886298,-0.13266792726824375,0.21890017782439505,-339.15963188422245
32,140,0,45,1.3902414916062873,0.0,2.538823168434071,-0.088320773424229,0.2968199867864169,-183.0946230211109
33,140,1,15,5.667152599193628,5.0,8.0,0.074365006457608,0.16374359956599865,-676.7474561920063
34,140,1,30,5.85985647089063,4.5,6.786128815134107,0.2266866194147203,0.1170626684609172,-460.4880827259103
35,140,1,45,1.2892133929438807,0.4408046104637271,3.1957551481743,-0.25724676319838,0.385070235990594,-264.83150758104506
36,150,0,15,5.192224822082192,5.0,8.0,0.004207270816654949,0.14472473110736442,-540.6045371673226
37,150,0,30,1.808351051670868,0.5631262994015774,4.368736584788036,0.2557262581857487,0.2387402986574442,-339.1706331939959
38,150,0,45,1.019256656054423,0.0,2.743351851754682,-0.1964616292269446,0.330182890616016,-216.12191160640236
39,150,1,15,5.191581466010313,5.0,8.0,0.02656937029185675,0.15191597244917587,-619.4936449231492
40,150,1,30,1.120410582417963,1.4578678366085111e-08,4.388129000389634,0.1864494597797804,0.3568100148649428,-333.8325359004449
41,150,1,45,1.11159586426048,0.1313831621559037,3.570503530903277,0.2047380975572456,0.3479899829846515,-285.3827100939548
42,170,0,15,5.039548353180768,4.543280001168959,8.0,0.35975543182189823,0.13950454892871927,-506.1163764009067
43,170,0,30,1.5830997394883872,0.0,4.135410901360879,0.49484266206825633,0.2387603555532042,-312.57554451930747
44,170,0,45,1.2409299621316996,0.01,2.2380196712607576,-0.2522562243585209,0.2402000228780874,-150.06810689052404
45,170,1,15,4.326650558026564,5.0,8.0,0.023769226149436776,0.1464955868309977,-544.091127988721
46,170,1,30,1.613469913197507,1.49934808562865,3.656367722782679,-0.1251312261734921,0.2105476298488289,-321.94894230925314
47,170,1,45,0.8922569881791719,0.1304841447941662,3.294485914798265,0.4249688778971487,0.2938590947246507,-277.2456733131822
48,180,0,15,3.825984417882385,0.0,5.265558131982527,-0.1014010586511869,0.1,-370.2713539244705
49,180,0,30,3.1202178577163844,6.009714101765748e-08,3.5213316379181,-0.3542867404930468,0.1000000000000054,-254.8171401091295
50,180,0,45,1.623332729286029,0.0,2.0834561654144554,-0.0768508477472767,0.3589542762089052,-117.23145123646928
51,180,1,15,2.4699902587386124,0.0,5.655392063320389,-0.38469492740424605,0.13141589984324453,-385.8799835197744
52,180,1,30,1.24875110150751,0.0,3.1987395327098773,-0.6045098425334715,0.24289999650541802,-251.6373596414085
53,180,1,45,1.2828795558591588,0.0,2.23082535922332,-0.045937549145030725,0.18859413177487597,-151.49041365126328
54,190,0,15,4.785340335599436,0.0,5.98215143539237,-0.202664258797578,0.1,-400.83057454306464
55,190,0,30,3.321474388384167,0.0,3.2156198804357303,-0.0311369566534619,0.1,-221.94911315474315
56,190,0,45,2.14146040967809,0.1002106597962877,1.8428760309573784,-0.2100454243199556,0.2543877812886958,-61.89175669204086
57,190,1,15,5.464905513448384,5.0,8.0,-0.4381915264518692,0.1174660858297026,-690.3327540169136
58,190,1,30,1.963295370623681,1.369498736853612,4.563482720668851,-0.1630641144059489,0.2328036855513397,-364.7794720060783
59,190,1,45,1.2471028947150535,0.8858834806716833,3.491649271141059,-0.1587570699812313,0.3067104707592981,-300.8638106302715
60,200,0,15,5.417468825420175,5.0,8.0,0.03860580956555035,0.12361517351580398,-472.04089853062794
61,200,0,30,1.352487039729005,5.990128433446692e-08,3.997183497823768,-0.1213162172548043,0.2665397254039017,-294.3533848711384
62,200,0,45,1.6962665439272144,0.6041902495793301,2.2785591355984343,0.0160695459239326,0.1313424736689617,-159.46091286495633
63,200,1,15,1.6579650904290666,0.0,4.125002028534777,0.37155997750554387,0.12135514852262609,-309.04009582366064
64,200,1,30,1.2303022195329536,0.0,3.706663972747471,0.2736261606064527,0.21573508477697728,-287.687921276804
65,200,1,45,1.0239833310908546,6.7684011236432764e-09,2.4037715351879347,-0.188726658516168,0.2310200359146986,-178.0150371746031
66,210,0,15,2.50788077108041,0.0,5.785384472371327,-0.3392136441965135,0.2581198282867727,-399.1637844378227
67,210,0,30,1.4769215808391423,0.0,3.4969696500307,0.014695810215389632,0.3563098152474241,-263.55939671510623
68,210,0,45,1.2210732135205835,0.01,2.4882491734999204,-0.1119439199586932,0.396773943740993,-174.0410444561818
69,210,1,15,5.7146790726002585,5.0,7.1973703156239495,-0.1367254408871071,0.14116528202316414,-461.5145251183385
70,210,1,30,1.3181278158639331,0.1000108552586206,4.216661500207217,-0.2956594032718921,0.3473119676424723,-324.43329128767004
71,210,1,45,1.206432730887134,0.5320364825632202,2.907284762306376,-0.3537807367180436,0.3714605795279389,-244.8299888835581
